transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.7578.2	MSTRG.7578	2.10623055848455	4.61229222682075e-08	X	X	-	3.66681746553613	0.955612264561614	novel
MSTRG.18275.17	MSTRG.18275	1.24065062206874	4.70043177301158e-08	X	-	-	5.71453581387366	0.00677336065964539	novel
MSTRG.2753.5	MSTRG.2753	-0.928735005111584	4.70348111885671e-08	X	-	-	4.9139659449917	0.410392533171034	novel
MSTRG.13475.1	MSTRG.13475	-3.17087541347472	4.78759881862955e-08	-	-	X	3.04126200169428	0.133402357252569	novel
MSTRG.5805.8	MSTRG.5805	-1.56613724813938	5.19634310326269e-08	X	-	-	4.71939524082405	0.770418983850687	novel
MSTRG.28618.2	MSTRG.28618	-0.786562083014593	5.67376471633359e-08	X	X	-	7.89509800707135	0.246855789379427	novel
MSTRG.28907.1	MSTRG.28907	-2.8197105007736	6.0165778595073e-08	-	-	-	3.09283359749778	0.00085399070789275	novel
MSTRG.25960.4	MSTRG.25960	-0.770009657814715	6.2961737934141e-08	X	X	-	6.24786471580919	0.244110396809894	novel
MSTRG.16615.33	MSTRG.16615	-0.86840600066488	6.62357816400252e-08	-	X	-	6.38487264109746	0.384661340270209	novel
MSTRG.2610.8	MSTRG.2610	-0.469698216489714	6.72838066464889e-08	-	X	-	7.52236678005125	0.955780346941277	novel
MSTRG.13146.10	MSTRG.13146	-1.10021472291934	7.6403714287572e-08	-	-	-	4.36839624796413	0.0660161618160046	novel
MSTRG.8519.13	MSTRG.8519	-0.508538777177874	7.69266939621122e-08	-	X	-	8.27015752764897	0.0295936666518974	novel
MSTRG.21500.7	MSTRG.21500	-0.765273771667947	7.8639887959621e-08	X	X	-	5.83664630721534	0.00565174749256731	novel
MSTRG.19525.2	MSTRG.19525	-0.898092774272523	7.86838128911576e-08	X	X	-	6.94422036086579	0.0102861842259085	novel
MSTRG.18962.3	MSTRG.18962	1.10504914369492	8.32646241111073e-08	X	-	-	5.05420082534252	0.981810672446178	novel
MSTRG.14105.4	MSTRG.14105	-0.637723866456494	9.23103797626885e-08	-	-	-	6.04380954117458	0.226509184873801	novel
MSTRG.22890.41	MSTRG.22890	-0.642114439060927	9.96481193242135e-08	-	-	-	5.83595418993696	0.0102509530662017	novel
MSTRG.12435.6	MSTRG.12435	0.556383406744229	1.01056142643514e-07	-	-	-	6.78941118543685	0.0301651404195663	novel
MSTRG.16129.7	MSTRG.16129	-0.723705168269274	1.02802772008559e-07	X	X	-	7.53898683105086	0.999078968260994	novel
MSTRG.25652.1	MSTRG.25652	-2.38123711267696	1.02802772008559e-07	-	-	-	4.34786459552913	0.00441738128304306	novel
MSTRG.23688.15	MSTRG.23688	-2.29045492913873	1.09432608548054e-07	X	-	-	3.59424950806717	0.0393159582978125	novel
MSTRG.16544.28	MSTRG.16544	-6.23761586330986	1.1250744579924e-07	-	-	-	2.42570414672381	0.987033226912022	novel
MSTRG.23067.7	MSTRG.23067	0.517682703397808	1.18150438309206e-07	X	X	-	6.76006934833376	0.00247070689304381	novel
MSTRG.5289.4	MSTRG.5289	0.779896145242627	1.2370818838974e-07	-	X	-	6.55610875358886	0.994507546379276	novel
MSTRG.3477.1	MSTRG.3477	1.47237035166802	1.36380053044209e-07	X	X	-	6.22371836862989	0.00068335267106381	novel
MSTRG.20600.3	MSTRG.20600	0.723511409731705	1.60313207018329e-07	-	X	-	6.54515515581786	0.999904231503209	novel
MSTRG.11130.5	MSTRG.11130	0.876482360316162	1.60956762840788e-07	X	X	-	8.16735389498167	0.22508058709905	novel
MSTRG.21036.6	MSTRG.21036	-0.870412873903509	1.61997504862332e-07	X	-	-	5.20871097637033	0.316157615245772	novel
MSTRG.28652.11	MSTRG.28652	-1.92218481614276	1.69886092406108e-07	-	X	-	3.71073211584647	0.21095213189863	novel
MSTRG.22961.3	MSTRG.22961	-0.553738647589384	1.7499533852394e-07	-	X	-	6.643472322003	0.00722205520837804	novel
MSTRG.18624.12	MSTRG.18624	0.883532873556619	2.00266769271434e-07	X	X	-	5.37868601204398	0.499340536953217	novel
MSTRG.29051.3	MSTRG.29051	-1.13491826639836	2.13007105260487e-07	-	X	-	4.95329229661143	0.691907317136529	novel
MSTRG.23687.2	MSTRG.23687	-1.89334468072981	2.18701717064534e-07	-	X	-	3.54218967445031	0.010971170420547	novel
MSTRG.10165.2	MSTRG.10165	5.01940257571366	2.21234801278005e-07	X	-	-	1.81655410729688	0.00386583944875495	novel
